ID,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
332,14,280.0,4.9,297.0,372.0,609.0,3503.0,20.0,19.0,5.4,395.0,1566.0,7.0,4.0,80.0,26.3,25.8,1.35,390.0,5.6,23.0,305.0,374.0,3927.0,27.0,13.0,6.6,428.0,1776.0,17.0,4.1,80.0,33.7,29.1,1.91,25.0,21.0,17.0,1.0,15.0,20.0,23.0,24.0,26.0,26.0,27.0,27.0,26.0,23.0,25.0,25.0,24.0,24.0,18.0,30.0,24.0,22.0,24.0,15.0,15.0,24.0,13.0,14.0,19.0,22.0
333,15,402.0,5.8,323.0,338.0,542.0,4019.0,28.0,14.0,7.0,443.0,1837.0,14.0,4.1,103.0,37.7,32.0,2.05,427.0,5.5,24.0,308.0,314.0,3425.0,31.0,13.0,6.5,423.0,1773.0,21.0,4.2,103.0,38.5,28.5,2.3,8.0,8.0,12.0,17.0,11.0,7.0,12.0,9.0,13.0,17.0,15.0,20.0,8.0,10.0,7.0,30.0,13.0,22.0,20.0,15.0,30.0,22.0,21.0,13.0,14.0,30.0,14.0,3.0,17.0,31.0
334,16,354.0,5.7,288.0,271.0,476.0,3031.0,16.0,15.0,6.2,499.0,2592.0,19.0,5.2,115.0,33.2,29.9,1.74,402.0,5.6,27.0,323.0,404.0,4139.0,31.0,20.0,6.5,402.0,1711.0,16.0,4.3,89.0,36.3,30.8,2.08,16.0,12.0,21.0,28.0,23.0,24.0,15.0,14.0,5.0,2.0,6.0,1.0,15.0,14.0,16.0,28.0,28.0,16.0,28.0,31.0,30.0,8.0,23.0,8.0,10.0,21.0,16.0,6.0,26.0,29.0
335,17,330.0,5.0,238.0,312.0,528.0,3052.0,23.0,14.0,5.4,371.0,1600.0,12.0,4.3,77.0,27.6,23.8,1.54,281.0,5.0,33.0,278.0,352.0,3670.0,14.0,18.0,5.9,426.0,1552.0,12.0,3.6,77.0,26.7,25.2,1.31,18.0,27.0,29.0,21.0,22.0,15.0,12.0,25.0,30.0,25.0,19.0,12.0,24.0,27.0,24.0,4.0,15.0,5.0,6.0,21.0,2.0,11.0,12.0,14.0,6.0,14.0,3.0,26.0,3.0,3.0
336,18,368.0,5.9,331.0,351.0,536.0,4148.0,28.0,14.0,7.1,428.0,1793.0,10.0,4.2,96.0,35.5,32.4,1.9,324.0,5.1,22.0,274.0,319.0,3447.0,22.0,12.0,5.8,372.0,1438.0,7.0,3.9,70.0,28.7,27.4,1.51,12.0,7.0,9.0,18.0,9.0,7.0,12.0,8.0,18.0,19.0,20.0,16.0,9.0,7.0,13.0,12.0,5.0,26.0,4.0,16.0,14.0,25.0,8.0,4.0,3.0,4.0,5.0,21.0,9.0,10.0
337,19,363.0,5.2,330.0,332.0,570.0,3571.0,26.0,17.0,6.0,451.0,1876.0,15.0,4.2,105.0,35.3,32.1,2.02,325.0,5.6,28.0,303.0,335.0,3871.0,25.0,15.0,6.9,433.0,1711.0,10.0,4.0,89.0,32.2,32.6,1.78,13.0,16.0,10.0,7.0,14.0,13.0,17.0,17.0,11.0,15.0,14.0,18.0,10.0,9.0,8.0,14.0,21.0,12.0,17.0,28.0,20.0,16.0,25.0,16.0,10.0,7.0,8.0,16.0,29.0,19.0
338,20,388.0,5.9,340.0,399.0,593.0,4654.0,29.0,17.0,7.5,425.0,1475.0,13.0,3.5,93.0,33.7,32.8,1.91,333.0,5.3,27.0,300.0,344.0,3487.0,19.0,14.0,6.0,396.0,1711.0,17.0,4.3,91.0,30.8,28.5,1.71,10.0,4.0,4.0,4.0,1.0,5.0,17.0,3.0,20.0,30.0,18.0,31.0,13.0,6.0,11.0,17.0,13.0,16.0,16.0,18.0,10.0,20.0,18.0,5.0,10.0,24.0,17.0,19.0,16.0,18.0
339,21,305.0,4.9,295.0,286.0,477.0,2890.0,21.0,13.0,5.7,505.0,2056.0,9.0,4.1,109.0,29.9,27.8,1.58,291.0,4.9,25.0,276.0,318.0,3249.0,18.0,19.0,5.6,399.0,1573.0,12.0,3.9,95.0,28.6,25.8,1.51,22.0,24.0,18.0,27.0,26.0,16.0,7.0,20.0,4.0,9.0,22.0,24.0,19.0,19.0,20.0,6.0,4.0,19.0,5.0,6.0,8.0,9.0,7.0,7.0,7.0,14.0,7.0,22.0,5.0,9.0
340,22,326.0,5.3,306.0,341.0,558.0,3627.0,21.0,13.0,6.1,440.0,1836.0,9.0,4.2,95.0,31.7,28.9,1.59,324.0,5.0,30.0,290.0,298.0,2981.0,18.0,17.0,5.4,458.0,2059.0,11.0,4.5,99.0,31.4,27.0,1.57,20.0,15.0,15.0,9.0,13.0,16.0,7.0,15.0,14.0,18.0,22.0,17.0,17.0,18.0,19.0,12.0,7.0,9.0,12.0,3.0,8.0,13.0,3.0,22.0,26.0,11.0,27.0,18.0,8.0,13.0
341,23,461.0,5.8,335.0,357.0,553.0,4180.0,30.0,8.0,6.9,438.0,1885.0,20.0,4.3,102.0,40.3,31.7,2.26,297.0,4.8,40.0,272.0,294.0,3218.0,29.0,30.0,5.6,371.0,1333.0,5.0,3.6,68.0,25.3,24.5,1.49,3.0,6.0,6.0,10.0,7.0,4.0,2.0,10.0,15.0,14.0,5.0,13.0,5.0,11.0,6.0,7.0,2.0,1.0,3.0,5.0,28.0,1.0,6.0,3.0,1.0,1.0,2.0,29.0,2.0,7.0
342,24,361.0,6.3,335.0,347.0,550.0,4287.0,26.0,9.0,7.3,436.0,2103.0,14.0,4.8,110.0,33.5,35.7,1.9,250.0,5.2,21.0,286.0,344.0,3606.0,19.0,11.0,5.9,365.0,1448.0,7.0,4.0,74.0,24.3,27.9,1.3,14.0,2.0,6.0,13.0,6.0,13.0,3.0,5.0,17.0,7.0,15.0,2.0,14.0,2.0,12.0,2.0,9.0,27.0,9.0,20.0,10.0,26.0,10.0,2.0,4.0,4.0,9.0,31.0,10.0,2.0
343,25,326.0,5.3,306.0,341.0,558.0,3627.0,21.0,13.0,6.1,440.0,1836.0,9.0,4.2,95.0,31.7,28.9,1.59,324.0,5.0,30.0,290.0,298.0,2981.0,18.0,17.0,5.4,458.0,2059.0,11.0,4.5,99.0,31.4,27.0,1.57,20.0,15.0,15.0,9.0,13.0,16.0,7.0,15.0,14.0,18.0,22.0,17.0,17.0,18.0,19.0,12.0,7.0,9.0,12.0,3.0,8.0,13.0,3.0,22.0,26.0,11.0,27.0,18.0,8.0,13.0
344,26,375.0,5.6,317.0,392.0,594.0,4016.0,27.0,18.0,6.5,365.0,1494.0,16.0,4.1,77.0,30.7,27.6,1.78,325.0,5.3,29.0,289.0,346.0,3739.0,22.0,21.0,5.9,402.0,1804.0,13.0,4.5,81.0,27.6,28.3,1.54,11.0,14.0,14.0,3.0,12.0,10.0,20.0,12.0,32.0,28.0,12.0,23.0,18.0,20.0,15.0,14.0,20.0,10.0,10.0,23.0,14.0,7.0,11.0,8.0,17.0,17.0,25.0,25.0,13.0,11.0
345,27,427.0,5.9,373.0,390.0,592.0,4436.0,28.0,13.0,7.3,466.0,1921.0,19.0,4.1,114.0,41.0,35.7,2.29,285.0,5.4,28.0,289.0,300.0,3355.0,25.0,18.0,6.2,398.0,1768.0,6.0,4.4,80.0,25.1,28.4,1.45,6.0,3.0,1.0,5.0,3.0,7.0,7.0,6.0,10.0,12.0,6.0,21.0,4.0,1.0,5.0,5.0,11.0,12.0,10.0,12.0,20.0,11.0,19.0,6.0,13.0,3.0,23.0,30.0,15.0,6.0
346,28,360.0,5.0,333.0,331.0,545.0,3170.0,15.0,19.0,5.5,509.0,2231.0,22.0,4.4,129.0,34.3,29.7,1.85,390.0,5.8,21.0,297.0,281.0,3754.0,23.0,15.0,7.0,435.0,1835.0,16.0,4.2,88.0,38.7,30.0,2.0,15.0,17.0,8.0,14.0,20.0,27.0,23.0,23.0,3.0,4.0,1.0,10.0,12.0,16.0,14.0,25.0,22.0,27.0,15.0,24.0,18.0,16.0,29.0,17.0,18.0,21.0,15.0,2.0,21.0,26.0
347,29,348.0,5.0,280.0,210.0,393.0,2380.0,12.0,21.0,5.6,607.0,2756.0,21.0,4.5,132.0,31.8,25.9,1.62,236.0,4.2,31.0,237.0,259.0,2459.0,8.0,17.0,4.6,420.0,1578.0,11.0,3.8,87.0,20.3,21.6,1.02,17.0,20.0,23.0,32.0,31.0,29.0,28.0,21.0,1.0,1.0,3.0,5.0,16.0,22.0,18.0,1.0,1.0,8.0,1.0,1.0,1.0,13.0,1.0,11.0,8.0,11.0,4.0,32.0,1.0,1.0
348,30,262.0,4.6,281.0,316.0,585.0,3168.0,16.0,32.0,5.0,409.0,1616.0,9.0,4.0,82.0,23.7,24.6,1.23,494.0,6.1,23.0,332.0,371.0,4249.0,35.0,9.0,7.4,458.0,2025.0,18.0,4.4,95.0,43.8,32.6,2.42,27.0,26.0,22.0,6.0,21.0,24.0,32.0,28.0,24.0,24.0,22.0,28.0,28.0,26.0,28.0,32.0,32.0,24.0,30.0,32.0,32.0,30.0,32.0,22.0,25.0,26.0,21.0,1.0,30.0,32.0
349,31,416.0,5.9,339.0,402.0,601.0,4515.0,34.0,19.0,7.4,366.0,1294.0,16.0,3.5,69.0,37.9,33.4,2.29,307.0,5.0,26.0,320.0,372.0,3403.0,19.0,16.0,5.5,467.0,2024.0,10.0,4.3,106.0,33.0,30.3,1.64,7.0,9.0,5.0,2.0,2.0,1.0,23.0,4.0,31.0,32.0,12.0,30.0,7.0,5.0,4.0,8.0,18.0,18.0,27.0,14.0,10.0,15.0,4.0,25.0,24.0,7.0,19.0,15.0,23.0,14.0
350,32,510.0,6.3,348.0,378.0,544.0,4355.0,34.0,12.0,7.7,468.0,2106.0,21.0,4.5,115.0,41.6,34.9,2.44,341.0,5.5,39.0,310.0,330.0,3769.0,15.0,26.0,6.2,435.0,1955.0,19.0,4.5,111.0,31.4,29.5,1.64,1.0,1.0,2.0,15.0,4.0,1.0,6.0,2.0,7.0,6.0,3.0,7.0,3.0,3.0,2.0,20.0,25.0,2.0,22.0,26.0,5.0,3.0,20.0,17.0,21.0,28.0,26.0,17.0,20.0,15.0
351,1,268.0,4.7,234.0,281.0,509.0,2960.0,18.0,19.0,5.3,352.0,1332.0,10.0,3.8,70.0,26.2,22.9,1.39,517.0,6.4,20.0,350.0,303.0,3716.0,25.0,4.0,7.9,536.0,2754.0,31.0,5.1,147.0,45.3,36.1,2.61,27.0,30.0,30.0,18.0,24.0,19.0,26.0,27.0,31.0,30.0,25.0,28.0,30.0,31.0,28.0,32.0,32.0,26.0,32.0,27.0,27.0,32.0,32.0,30.0,32.0,32.0,32.0,2.0,32.0,32.0
352,2,232.0,4.7,249.0,292.0,520.0,2947.0,11.0,19.0,5.2,417.0,1649.0,8.0,4.0,95.0,26.3,24.2,1.19,465.0,6.1,26.0,320.0,278.0,3475.0,20.0,12.0,7.3,501.0,2475.0,26.0,4.9,146.0,41.6,31.9,2.24,30.0,27.0,28.0,15.0,26.0,30.0,26.0,28.0,22.0,25.0,30.0,25.0,29.0,27.0,31.0,31.0,28.0,13.0,26.0,19.0,14.0,21.0,31.0,28.0,29.0,30.0,29.0,4.0,25.0,29.0
353,3,291.0,5.2,273.0,310.0,541.0,3129.0,23.0,16.0,5.4,379.0,1810.0,9.0,4.8,94.0,27.0,27.6,1.53,440.0,6.0,29.0,344.0,348.0,3748.0,21.0,13.0,7.0,509.0,2543.0,25.0,5.0,133.0,43.6,34.6,2.33,26.0,24.0,24.0,9.0,20.0,8.0,21.0,26.0,29.0,16.0,28.0,4.0,28.0,21.0,25.0,29.0,31.0,9.0,31.0,28.0,18.0,17.0,28.0,29.0,30.0,29.0,31.0,3.0,30.0,30.0
354,4,294.0,4.7,265.0,262.0,474.0,2617.0,18.0,15.0,5.1,417.0,1768.0,10.0,4.2,104.0,29.5,25.0,1.52,392.0,5.7,20.0,324.0,366.0,4149.0,25.0,9.0,6.9,457.0,1899.0,13.0,4.2,98.0,40.1,32.3,2.02,25.0,28.0,26.0,26.0,29.0,19.0,16.0,30.0,22.0,19.0,25.0,14.0,25.0,26.0,26.0,25.0,30.0,26.0,27.0,32.0,27.0,29.0,26.0,23.0,18.0,13.0,16.0,5.0,26.0,25.0
355,5,405.0,5.4,308.0,347.0,529.0,3303.0,22.0,23.0,5.9,422.0,2004.0,20.0,4.7,94.0,37.3,29.8,2.07,356.0,5.2,30.0,315.0,368.0,3752.0,23.0,14.0,6.1,407.0,1518.0,10.0,3.7,86.0,33.3,29.5,1.77,9.0,16.0,11.0,13.0,16.0,11.0,32.0,21.0,19.0,9.0,5.0,5.0,11.0,12.0,10.0,18.0,16.0,5.0,24.0,29.0,23.0,15.0,16.0,9.0,7.0,6.0,7.0,18.0,18.0,16.0
356,6,204.0,4.0,245.0,303.0,513.0,2406.0,11.0,15.0,4.3,420.0,1520.0,6.0,3.6,80.0,21.0,21.0,0.99,364.0,5.1,24.0,296.0,315.0,3287.0,23.0,12.0,6.3,490.0,1921.0,15.0,3.9,106.0,32.6,28.2,1.8,32.0,32.0,29.0,16.0,30.0,30.0,16.0,32.0,21.0,29.0,31.0,30.0,32.0,32.0,32.0,19.0,12.0,17.0,15.0,15.0,23.0,21.0,19.0,27.0,21.0,20.0,10.0,19.0,12.0,18.0
357,7,263.0,4.7,225.0,222.0,421.0,2369.0,13.0,11.0,5.2,459.0,1987.0,9.0,4.3,87.0,24.6,23.0,1.21,388.0,5.5,24.0,325.0,266.0,3220.0,20.0,16.0,6.4,542.0,2555.0,23.0,4.7,129.0,34.4,30.0,1.93,29.0,29.0,32.0,31.0,32.0,28.0,5.0,29.0,10.0,10.0,28.0,10.0,31.0,30.0,30.0,24.0,27.0,17.0,28.0,10.0,14.0,10.0,22.0,32.0,31.0,28.0,27.0,17.0,19.0,22.0
358,8,302.0,5.1,312.0,335.0,537.0,3332.0,15.0,13.0,5.8,426.0,1774.0,17.0,4.2,107.0,29.7,29.7,1.63,367.0,5.7,17.0,289.0,297.0,3586.0,25.0,13.0,7.3,428.0,1709.0,14.0,4.0,98.0,38.8,31.1,2.08,24.0,20.0,10.0,11.0,15.0,24.0,12.0,23.0,18.0,18.0,10.0,17.0,24.0,13.0,23.0,21.0,17.0,31.0,11.0,24.0,27.0,17.0,30.0,14.0,13.0,15.0,13.0,7.0,22.0,26.0
359,9,419.0,5.6,299.0,343.0,541.0,3813.0,28.0,13.0,6.6,437.0,1805.0,11.0,4.1,99.0,36.9,31.2,1.98,380.0,5.3,28.0,295.0,287.0,3244.0,22.0,22.0,6.0,458.0,2105.0,20.0,4.6,121.0,34.9,27.9,1.92,5.0,8.0,15.0,9.0,8.0,5.0,12.0,10.0,14.0,17.0,24.0,18.0,12.0,11.0,12.0,22.0,20.0,12.0,14.0,12.0,21.0,3.0,12.0,24.0,26.0,27.0,26.0,16.0,11.0,21.0
360,10,339.0,5.2,287.0,309.0,509.0,3379.0,21.0,19.0,6.0,397.0,1599.0,10.0,4.0,83.0,33.0,26.7,1.68,381.0,5.1,18.0,293.0,331.0,3507.0,22.0,12.0,6.1,452.0,1709.0,14.0,3.8,104.0,38.6,28.3,1.94,22.0,23.0,21.0,18.0,13.0,13.0,26.0,18.0,27.0,27.0,25.0,21.0,20.0,22.0,21.0,23.0,13.0,28.0,12.0,20.0,21.0,21.0,15.0,21.0,13.0,15.0,8.0,9.0,13.0,23.0
361,11,336.0,5.1,287.0,309.0,479.0,3040.0,14.0,15.0,5.9,439.0,1842.0,16.0,4.2,107.0,34.1,27.7,1.7,342.0,5.4,22.0,293.0,301.0,3271.0,14.0,10.0,6.3,455.0,1946.0,18.0,4.3,113.0,36.9,29.1,1.82,23.0,25.0,21.0,24.0,22.0,26.0,16.0,22.0,13.0,14.0,11.0,16.0,16.0,20.0,20.0,14.0,14.0,20.0,12.0,13.0,4.0,27.0,20.0,22.0,22.0,24.0,21.0,12.0,16.0,19.0
362,12,370.0,6.2,354.0,386.0,620.0,4471.0,25.0,18.0,7.1,387.0,1862.0,15.0,4.8,103.0,38.9,37.9,2.13,448.0,6.1,13.0,327.0,333.0,3656.0,20.0,6.0,7.0,469.0,2337.0,26.0,5.0,122.0,46.4,35.5,2.49,16.0,2.0,2.0,3.0,3.0,7.0,24.0,7.0,28.0,12.0,14.0,3.0,8.0,1.0,7.0,30.0,29.0,32.0,29.0,26.0,14.0,31.0,27.0,25.0,27.0,30.0,30.0,1.0,31.0,31.0
363,13,265.0,5.0,295.0,318.0,510.0,3025.0,14.0,6.0,5.5,478.0,2095.0,12.0,4.4,109.0,29.2,28.7,1.46,296.0,5.0,18.0,259.0,290.0,3095.0,16.0,13.0,5.8,398.0,1526.0,12.0,3.8,86.0,29.5,26.2,1.52,28.0,19.0,17.0,17.0,23.0,26.0,1.0,24.0,8.0,8.0,22.0,8.0,26.0,17.0,27.0,6.0,4.0,28.0,5.0,7.0,6.0,17.0,8.0,6.0,8.0,11.0,9.0,26.0,9.0,6.0
364,14,463.0,6.3,354.0,413.0,636.0,4977.0,34.0,18.0,7.7,398.0,1594.0,20.0,4.0,103.0,42.7,36.7,2.49,393.0,5.4,22.0,299.0,299.0,3547.0,21.0,15.0,6.4,445.0,1885.0,14.0,4.2,100.0,39.7,31.2,1.99,1.0,1.0,2.0,1.0,1.0,1.0,24.0,2.0,26.0,28.0,5.0,23.0,4.0,2.0,1.0,26.0,23.0,20.0,18.0,23.0,18.0,11.0,23.0,19.0,17.0,15.0,19.0,6.0,23.0,24.0
365,15,366.0,6.0,340.0,367.0,555.0,4267.0,21.0,20.0,7.3,432.0,1846.0,16.0,4.3,106.0,38.2,35.3,2.0,394.0,5.8,22.0,300.0,294.0,3423.0,24.0,12.0,6.9,439.0,1962.0,18.0,4.5,114.0,38.3,30.7,2.11,17.0,3.0,4.0,7.0,4.0,13.0,29.0,5.0,16.0,13.0,11.0,13.0,9.0,4.0,11.0,27.0,22.0,20.0,19.0,17.0,26.0,21.0,25.0,17.0,23.0,24.0,24.0,10.0,20.0,27.0
366,16,439.0,6.0,301.0,312.0,478.0,3858.0,34.0,11.0,7.7,421.0,1726.0,13.0,4.1,92.0,43.5,32.8,2.41,347.0,5.4,24.0,339.0,411.0,3958.0,25.0,15.0,6.3,408.0,1641.0,11.0,4.0,98.0,35.5,33.1,1.92,2.0,11.0,13.0,25.0,7.0,1.0,5.0,1.0,20.0,20.0,19.0,19.0,3.0,8.0,2.0,15.0,25.0,17.0,30.0,31.0,27.0,11.0,18.0,10.0,11.0,8.0,14.0,14.0,28.0,20.0
367,17,361.0,5.2,298.0,355.0,562.0,3619.0,18.0,13.0,6.1,451.0,1837.0,13.0,4.1,100.0,33.3,28.8,1.66,323.0,5.2,30.0,259.0,276.0,2997.0,23.0,22.0,5.9,441.0,1901.0,8.0,4.3,87.0,30.7,25.4,1.57,19.0,14.0,16.0,6.0,11.0,19.0,12.0,15.0,11.0,15.0,19.0,20.0,18.0,16.0,22.0,10.0,9.0,5.0,5.0,4.0,23.0,3.0,11.0,18.0,19.0,4.0,22.0,23.0,6.0,7.0
368,18,370.0,6.2,354.0,386.0,620.0,4471.0,25.0,18.0,7.1,387.0,1862.0,15.0,4.8,103.0,38.9,37.9,2.13,448.0,6.1,13.0,327.0,333.0,3656.0,20.0,6.0,7.0,469.0,2337.0,26.0,5.0,122.0,46.4,35.5,2.49,16.0,2.0,2.0,3.0,3.0,7.0,24.0,7.0,28.0,12.0,14.0,3.0,8.0,1.0,7.0,30.0,29.0,32.0,29.0,26.0,14.0,31.0,27.0,25.0,27.0,30.0,30.0,1.0,31.0,31.0
369,19,416.0,5.3,318.0,362.0,606.0,3911.0,23.0,16.0,6.2,427.0,1697.0,15.0,4.0,94.0,35.5,28.0,1.83,289.0,4.4,29.0,248.0,284.0,2913.0,19.0,15.0,5.1,421.0,1476.0,7.0,3.5,79.0,25.3,22.1,1.28,6.0,9.0,8.0,4.0,6.0,8.0,21.0,12.0,17.0,22.0,14.0,24.0,13.0,18.0,15.0,4.0,3.0,9.0,3.0,3.0,10.0,11.0,2.0,13.0,4.0,2.0,4.0,29.0,3.0,4.0
370,20,268.0,4.7,234.0,281.0,509.0,2960.0,18.0,19.0,5.3,352.0,1332.0,10.0,3.8,70.0,26.2,22.9,1.39,517.0,6.4,20.0,350.0,303.0,3716.0,25.0,4.0,7.9,536.0,2754.0,31.0,5.1,147.0,45.3,36.1,2.61,27.0,30.0,30.0,18.0,24.0,19.0,26.0,27.0,31.0,30.0,25.0,28.0,30.0,31.0,28.0,32.0,32.0,26.0,32.0,27.0,27.0,32.0,32.0,30.0,32.0,32.0,32.0,2.0,32.0,32.0
371,21,232.0,4.3,233.0,238.0,488.0,2380.0,11.0,20.0,4.6,409.0,1605.0,6.0,3.9,84.0,27.3,23.1,1.22,350.0,5.7,31.0,315.0,286.0,3273.0,19.0,23.0,7.1,541.0,2431.0,16.0,4.5,125.0,31.6,33.3,1.77,30.0,31.0,31.0,23.0,31.0,30.0,29.0,31.0,24.0,26.0,31.0,26.0,27.0,29.0,29.0,16.0,26.0,3.0,24.0,14.0,10.0,2.0,29.0,31.0,28.0,21.0,25.0,21.0,29.0,15.0
372,22,379.0,5.2,292.0,267.0,452.0,2956.0,22.0,17.0,6.0,519.0,2332.0,15.0,4.5,119.0,34.7,27.7,1.82,333.0,4.9,25.0,255.0,324.0,3449.0,15.0,12.0,6.0,371.0,1230.0,10.0,3.3,72.0,27.7,24.5,1.4,12.0,17.0,18.0,28.0,25.0,11.0,23.0,19.0,3.0,5.0,14.0,6.0,14.0,19.0,16.0,13.0,6.0,15.0,4.0,18.0,5.0,21.0,13.0,2.0,1.0,6.0,2.0,28.0,5.0,5.0
373,23,385.0,4.9,300.0,261.0,433.0,2808.0,16.0,12.0,6.0,592.0,2376.0,20.0,4.0,132.0,33.0,26.6,1.73,244.0,4.5,34.0,228.0,276.0,2875.0,17.0,26.0,5.1,366.0,1302.0,4.0,3.6,58.0,21.5,21.5,1.08,11.0,18.0,14.0,30.0,28.0,22.0,9.0,17.0,1.0,4.0,5.0,22.0,19.0,23.0,18.0,3.0,2.0,1.0,1.0,2.0,7.0,1.0,3.0,1.0,3.0,1.0,5.0,32.0,2.0,1.0
374,24,391.0,5.7,313.0,265.0,434.0,3336.0,16.0,11.0,7.4,560.0,2443.0,23.0,4.4,131.0,39.7,33.1,2.11,325.0,5.6,18.0,309.0,325.0,3526.0,20.0,10.0,6.0,415.0,2040.0,17.0,4.9,108.0,32.0,31.1,1.79,10.0,6.0,9.0,29.0,14.0,22.0,5.0,3.0,2.0,2.0,3.0,9.0,6.0,6.0,8.0,11.0,24.0,28.0,21.0,21.0,14.0,27.0,14.0,11.0,25.0,23.0,28.0,20.0,21.0,17.0
375,25,345.0,5.7,308.0,330.0,491.0,3632.0,20.0,7.0,7.0,448.0,1897.0,18.0,4.2,111.0,33.9,31.6,1.89,317.0,5.4,30.0,296.0,320.0,3644.0,18.0,18.0,6.2,388.0,1620.0,11.0,4.2,96.0,35.2,31.8,1.76,21.0,12.0,11.0,21.0,10.0,16.0,2.0,8.0,12.0,11.0,9.0,15.0,17.0,10.0,13.0,9.0,15.0,5.0,15.0,25.0,9.0,8.0,17.0,4.0,10.0,8.0,18.0,15.0,24.0,14.0
376,26,419.0,5.6,299.0,343.0,541.0,3813.0,28.0,13.0,6.6,437.0,1805.0,11.0,4.1,99.0,36.9,31.2,1.98,380.0,5.3,28.0,295.0,287.0,3244.0,22.0,22.0,6.0,458.0,2105.0,20.0,4.6,121.0,34.9,27.9,1.92,5.0,8.0,15.0,9.0,8.0,5.0,12.0,10.0,14.0,17.0,24.0,18.0,12.0,11.0,12.0,22.0,20.0,12.0,14.0,12.0,21.0,3.0,12.0,24.0,26.0,27.0,26.0,16.0,11.0,21.0
377,27,377.0,5.5,321.0,393.0,585.0,4094.0,27.0,12.0,6.8,370.0,1274.0,13.0,3.4,80.0,40.7,35.8,2.31,298.0,5.1,26.0,305.0,329.0,3009.0,6.0,15.0,5.9,472.0,1966.0,18.0,4.2,119.0,37.3,32.5,1.75,13.0,15.0,7.0,5.0,5.0,6.0,9.0,9.0,30.0,31.0,19.0,32.0,5.0,3.0,3.0,7.0,11.0,13.0,20.0,6.0,1.0,11.0,9.0,26.0,24.0,24.0,17.0,11.0,27.0,12.0
378,28,336.0,5.1,287.0,309.0,479.0,3040.0,14.0,15.0,5.9,439.0,1842.0,16.0,4.2,107.0,34.1,27.7,1.7,342.0,5.4,22.0,293.0,301.0,3271.0,14.0,10.0,6.3,455.0,1946.0,18.0,4.3,113.0,36.9,29.1,1.82,23.0,25.0,21.0,24.0,22.0,26.0,16.0,22.0,13.0,14.0,11.0,16.0,16.0,20.0,20.0,14.0,14.0,20.0,12.0,13.0,4.0,27.0,20.0,22.0,22.0,24.0,21.0,12.0,16.0,19.0
379,29,427.0,5.6,338.0,298.0,491.0,3177.0,23.0,10.0,6.1,502.0,2518.0,19.0,5.0,130.0,43.8,32.0,2.26,294.0,5.0,22.0,268.0,296.0,3139.0,17.0,17.0,5.8,386.0,1533.0,14.0,4.0,78.0,28.9,26.8,1.58,3.0,7.0,5.0,21.0,18.0,8.0,4.0,14.0,7.0,1.0,8.0,1.0,2.0,9.0,5.0,5.0,5.0,20.0,7.0,8.0,7.0,9.0,7.0,3.0,9.0,15.0,12.0,27.0,10.0,8.0
380,30,375.0,5.2,268.0,265.0,453.0,2819.0,13.0,9.0,6.1,508.0,2199.0,24.0,4.3,108.0,34.6,26.1,1.81,234.0,4.6,31.0,276.0,342.0,3196.0,12.0,20.0,5.2,403.0,1502.0,12.0,3.7,81.0,23.2,24.2,1.21,14.0,21.0,25.0,27.0,27.0,28.0,3.0,16.0,5.0,7.0,2.0,11.0,15.0,25.0,17.0,2.0,7.0,3.0,9.0,9.0,2.0,6.0,4.0,8.0,6.0,11.0,6.0,30.0,4.0,3.0
381,31,427.0,5.9,328.0,418.0,630.0,4674.0,31.0,15.0,7.1,340.0,1178.0,14.0,3.5,72.0,39.3,32.9,2.19,426.0,5.3,30.0,312.0,323.0,3540.0,36.0,13.0,6.5,445.0,1764.0,13.0,4.0,117.0,38.7,29.2,2.24,3.0,4.0,6.0,2.0,2.0,3.0,16.0,6.0,32.0,32.0,18.0,31.0,7.0,7.0,6.0,28.0,19.0,5.0,22.0,22.0,32.0,17.0,24.0,19.0,16.0,13.0,11.0,8.0,17.0,28.0
